family,month,mentions_12m,videos_12m,soc_share
Punch & mixed fruit,2023-03,6,299,0.025751
Watermelon,2023-04,15,311,0.063025
Coffee & cream,2023-04,31,311,0.130252
Sour & candy,2023-04,16,311,0.067227
Cola & soda,2023-04,8,311,0.033613
Berry,2023-04,41,311,0.172269
Tropical,2023-04,24,311,0.10084
Citrus,2023-04,23,311,0.096639
Grape,2023-04,6,311,0.02521
Apple & pear,2023-04,27,311,0.113445
Peach & stone fruit,2023-04,11,311,0.046218
Tea & botanical,2023-04,30,311,0.12605
Punch & mixed fruit,2023-04,6,311,0.02521
Watermelon,2023-05,14,309,0.05668
Coffee & cream,2023-05,31,309,0.125506
Sour & candy,2023-05,13,309,0.052632
Cola & soda,2023-05,9,309,0.036437
Berry,2023-05,41,309,0.165992
Tropical,2023-05,29,309,0.117409
Citrus,2023-05,24,309,0.097166
Grape,2023-05,8,309,0.032389
Apple & pear,2023-05,27,309,0.109312
Peach & stone fruit,2023-05,12,309,0.048583
Tea & botanical,2023-05,31,309,0.125506
Punch & mixed fruit,2023-05,8,309,0.032389
Watermelon,2023-06,14,322,0.05283
Coffee & cream,2023-06,33,322,0.124528
Sour & candy,2023-06,12,322,0.045283
Cola & soda,2023-06,8,322,0.030189
Berry,2023-06,43,322,0.162264
Tropical,2023-06,38,322,0.143396
Citrus,2023-06,26,322,0.098113
Grape,2023-06,8,322,0.030189
Apple & pear,2023-06,27,322,0.101887
Peach & stone fruit,2023-06,13,322,0.049057
Tea & botanical,2023-06,31,322,0.116981
Punch & mixed fruit,2023-06,12,322,0.045283
Watermelon,2023-07,15,344,0.054348
Coffee & cream,2023-07,37,344,0.134058
Sour & candy,2023-07,11,344,0.039855
Cola & soda,2023-07,8,344,0.028986
Berry,2023-07,47,344,0.17029
Tropical,2023-07,38,344,0.137681
Citrus,2023-07,28,344,0.101449
Grape,2023-07,7,344,0.025362
Apple & pear,2023-07,25,344,0.09058
Peach & stone fruit,2023-07,14,344,0.050725
Tea & botanical,2023-07,34,344,0.123188
Punch & mixed fruit,2023-07,12,344,0.043478
Watermelon,2023-08,14,353,0.051471
Coffee & cream,2023-08,33,353,0.121324
Sour & candy,2023-08,10,353,0.036765
Cola & soda,2023-08,7,353,0.025735
Berry,2023-08,47,353,0.172794
Tropical,2023-08,39,353,0.143382
Citrus,2023-08,31,353,0.113971
Grape,2023-08,7,353,0.025735
Apple & pear,2023-08,21,353,0.077206
Peach & stone fruit,2023-08,15,353,0.055147
Tea & botanical,2023-08,35,353,0.128676
Punch & mixed fruit,2023-08,13,353,0.047794
Watermelon,2023-09,14,357,0.050725
Coffee & cream,2023-09,36,357,0.130435
Sour & candy,2023-09,12,357,0.043478
Cola & soda,2023-09,8,357,0.028986
Berry,2023-09,46,357,0.166667
Tropical,2023-09,37,357,0.134058
Citrus,2023-09,33,357,0.119565
Grape,2023-09,8,357,0.028986
Apple & pear,2023-09,20,357,0.072464
Peach & stone fruit,2023-09,14,357,0.050725
Tea & botanical,2023-09,34,357,0.123188
Punch & mixed fruit,2023-09,14,357,0.050725
Watermelon,2023-10,14,346,0.050725
Coffee & cream,2023-10,33,346,0.119565
Sour & candy,2023-10,13,346,0.047101
Cola & soda,2023-10,9,346,0.032609
Berry,2023-10,47,346,0.17029
Tropical,2023-10,36,346,0.130435
Citrus,2023-10,32,346,0.115942
Grape,2023-10,8,346,0.028986
Apple & pear,2023-10,21,346,0.076087
Peach & stone fruit,2023-10,13,346,0.047101
Tea & botanical,2023-10,34,346,0.123188
Punch & mixed fruit,2023-10,16,346,0.057971
Watermelon,2023-11,13,356,0.047273
Coffee & cream,2023-11,34,356,0.123636
Sour & candy,2023-11,13,356,0.047273
Cola & soda,2023-11,10,356,0.036364
Berry,2023-11,47,356,0.170909
Tropical,2023-11,34,356,0.123636
Citrus,2023-11,33,356,0.12
Grape,2023-11,7,356,0.025455
Apple & pear,2023-11,20,356,0.072727
Peach & stone fruit,2023-11,13,356,0.047273
Tea & botanical,2023-11,34,356,0.123636
Punch & mixed fruit,2023-11,17,356,0.061818
Watermelon,2023-12,13,354,0.046931
Coffee & cream,2023-12,31,354,0.111913
Sour & candy,2023-12,13,354,0.046931
Cola & soda,2023-12,10,354,0.036101
Berry,2023-12,49,354,0.176895
Tropical,2023-12,35,354,0.126354
Citrus,2023-12,35,354,0.126354
Grape,2023-12,8,354,0.028881
Apple & pear,2023-12,19,354,0.068592
Peach & stone fruit,2023-12,14,354,0.050542
Tea & botanical,2023-12,33,354,0.119134
Punch & mixed fruit,2023-12,17,354,0.061372
Watermelon,2024-01,10,331,0.039216
Coffee & cream,2024-01,30,331,0.117647
Sour & candy,2024-01,14,331,0.054902
Cola & soda,2024-01,10,331,0.039216
Berry,2024-01,41,331,0.160784
Tropical,2024-01,32,331,0.12549
Citrus,2024-01,32,331,0.12549
Grape,2024-01,8,331,0.031373
Apple & pear,2024-01,19,331,0.07451
Peach & stone fruit,2024-01,11,331,0.043137
Tea & botanical,2024-01,32,331,0.12549
Punch & mixed fruit,2024-01,16,331,0.062745
Watermelon,2024-02,8,328,0.032
Coffee & cream,2024-02,33,328,0.132
Sour & candy,2024-02,15,328,0.06
Cola & soda,2024-02,11,328,0.044
Berry,2024-02,36,328,0.144
Tropical,2024-02,30,328,0.12
Citrus,2024-02,30,328,0.12
